ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
360,2014,Barbados,430.0,North America,277493.0,4696344350.0
361,2015,Barbados,430.0,North America,278083.0,4724691200.0
362,2016,Barbados,430.0,North America,278649.0,4832811750.0
363,2017,Barbados,430.0,North America,279187.0,4981588900.0
364,2018,Barbados,430.0,North America,279688.0,5097283200.0
365,2019,Barbados,430.0,North America,280180.0,5324250000.0
366,2020,Barbados,430.0,North America,280693.0,4671800000.0
367,2021,Barbados,430.0,North America,281200.0,4843800000.0
368,2022,Barbados,430.0,North America,281635.0,5637914514.64
369,2000,Belize,22966.0,North America,240406.0,1116000000.0
370,2001,Belize,22966.0,North America,248100.0,1163000000.0
371,2002,Belize,22966.0,North America,255987.0,1233000000.0
372,2003,Belize,22966.0,North America,263998.0,1298000000.0
373,2004,Belize,22966.0,North America,272128.0,1389500000.0
374,2005,Belize,22966.0,North America,280375.0,1461500000.0
375,2006,Belize,22966.0,North America,288729.0,1581000000.0
376,2007,Belize,22966.0,North America,297173.0,1696000000.0
377,2008,Belize,22966.0,North America,305671.0,1729000000.0
378,2009,Belize,22966.0,North America,314171.0,1680500000.0
379,2010,Belize,22966.0,North America,322106.0,1738500000.0
380,2011,Belize,22966.0,North America,329538.0,1819500000.0
381,2012,Belize,22966.0,North America,337059.0,1903000000.0
382,2013,Belize,22966.0,North America,344688.0,2029500000.0
383,2014,Belize,22966.0,North America,352335.0,2138000000.0
384,2015,Belize,22966.0,North America,359871.0,2210500000.0
385,2016,Belize,22966.0,North America,367313.0,2258500000.0
386,2017,Belize,22966.0,North America,374693.0,2286000000.0
387,2018,Belize,22966.0,North America,382066.0,2315000000.0
388,2019,Belize,22966.0,North America,389095.0,2416500000.0
389,2020,Belize,22966.0,North America,394921.0,2080000000.0
390,2021,Belize,22966.0,North America,400031.0,2491500000.0
391,2022,Belize,22966.0,North America,405272.0,2824081836.2
392,2000,Haiti,27750.0,North America,8360225.0,6813565983.12
393,2001,Haiti,27750.0,North America,8511728.0,6331970412.89
394,2002,Haiti,27750.0,North America,8661546.0,6205847136.98
395,2003,Haiti,27750.0,North America,8812245.0,5071947797.98
396,2004,Haiti,27750.0,North America,8961489.0,6087360734.56
397,2005,Haiti,27750.0,North America,9111900.0,7030149790.93
398,2006,Haiti,27750.0,North America,9266288.0,7638739123.54
399,2007,Haiti,27750.0,North America,9420826.0,9228637766.24
400,2008,Haiti,27750.0,North America,9575247.0,10432962724.76
401,2009,Haiti,27750.0,North America,9730638.0,11597002929.8
402,2010,Haiti,27750.0,North America,9842880.0,11859312627.08
403,2011,Haiti,27750.0,North America,9954312.0,13008746038.89
